"","Sample","Status","Title","Platform","EGAS ID","ERP ID","ERS ID"
"223","GSM2180378","Private","RHC5005","GPL11154","EGAS00001001945","ERP016958","ERS1312320"
"224","GSM2180379","Private","RHC5008","GPL11154","EGAS00001001945","ERP016958","ERS1312323"
"225","GSM2180380","Private","RHC5010","GPL11154","EGAS00001001945","ERP016958","ERS1312325"
"226","GSM2180381","Private","RHC4859","GPL11154","EGAS00001001945","ERP016958","ERS1312326"
"227","GSM2180382","Private","RHC4861","GPL11154","EGAS00001001945","ERP016958","ERS1312328"
"228","GSM2180383","Private","RHC4862","GPL11154","EGAS00001001945","ERP016958","ERS1312329"
"229","GSM2180384","Private","RHC4864","GPL11154","EGAS00001001945","ERP016958","ERS1312331"
"230","GSM2180385","Private","RHC4866","GPL11154","EGAS00001001945","ERP016958","ERS1312333"
"231","GSM2180386","Private","RHC4871","GPL11154","EGAS00001001945","ERP016958","ERS1312338"
"232","GSM2180387","Private","RHC4872","GPL11154","EGAS00001001945","ERP016958","ERS1312339"
"233","GSM2180388","Private","RHC4874","GPL11154","EGAS00001001945","ERP016958","ERS1312341"
"234","GSM2180389","Private","RHC4877","GPL11154","EGAS00001001945","ERP016958","ERS1312344"
"235","GSM2180390","Private","RHC4878","GPL11154","EGAS00001001945","ERP016958","ERS1312345"
"236","GSM2180391","Private","RHC4879","GPL11154","EGAS00001001945","ERP016958","ERS1312346"
"237","GSM2180392","Private","RHC4880","GPL11154","EGAS00001001945","ERP016958","ERS1312347"
"238","GSM2180393","Private","RHC4881","GPL11154","EGAS00001001945","ERP016958","ERS1312348"
"239","GSM2180394","Private","RHC4886","GPL11154","EGAS00001001945","ERP016958","ERS1312353"
"240","GSM2180395","Private","RHC4887","GPL11154","EGAS00001001945","ERP016958","ERS1312354"
"241","GSM2180396","Private","RHC4890","GPL11154","EGAS00001001945","ERP016958","ERS1312357"
"242","GSM2180397","Private","RHC4897","GPL11154","EGAS00001001945","ERP016958","ERS1312364"
"243","GSM2180398","Private","RHC4900","GPL11154","EGAS00001001945","ERP016958","ERS1312367"
"244","GSM2180399","Private","RHC4902","GPL11154","EGAS00001001945","ERP016958","ERS1312369"
"245","GSM2180400","Private","RHC4910","GPL11154","EGAS00001001945","ERP016958","ERS1312377"
"246","GSM2180401","Private","RHC4911","GPL11154","EGAS00001001945","ERP016958","ERS1312378"
"247","GSM2180402","Private","RHC4915","GPL11154","EGAS00001001945","ERP016958","ERS1312382"
"248","GSM2180403","Private","RHC4916","GPL11154","EGAS00001001945","ERP016958","ERS1312383"
"249","GSM2180404","Private","RHC4921","GPL11154","EGAS00001001945","ERP016958","ERS1312388"
"250","GSM2180405","Private","RHC4922","GPL11154","EGAS00001001945","ERP016958","ERS1312389"
"251","GSM2180406","Private","RHC4924","GPL11154","EGAS00001001945","ERP016958","ERS1312391"
"252","GSM2180407","Private","RHC4925","GPL11154","EGAS00001001945","ERP016958","ERS1312392"
"253","GSM2180408","Private","RHC4926","GPL11154","EGAS00001001945","ERP016958","ERS1312393"
"254","GSM2180409","Private","RHC4931","GPL11154","EGAS00001001945","ERP016958","ERS1312398"
"255","GSM2180410","Private","RHC4935","GPL11154","EGAS00001001945","ERP016958","ERS1312402"
"256","GSM2180411","Private","RHC4937","GPL11154","EGAS00001001945","ERP016958","ERS1312404"
"257","GSM2180412","Private","RHC4938","GPL11154","EGAS00001001945","ERP016958","ERS1312405"
"258","GSM2180413","Private","RHC4940","GPL11154","EGAS00001001945","ERP016958","ERS1312407"
"259","GSM2180414","Private","RHC4944","GPL11154","EGAS00001001945","ERP016958","ERS1312411"
"260","GSM2180415","Private","RHC4945","GPL11154","EGAS00001001945","ERP016958","ERS1312412"
"261","GSM2180416","Private","RHC4947","GPL11154","EGAS00001001945","ERP016958","ERS1312414"
"262","GSM2180417","Private","RHC4743","GPL11154","EGAS00001001945","ERP016958","ERS1312429"
"263","GSM2180418","Private","RHC4745","GPL11154","EGAS00001001945","ERP016958","ERS1312431"
"264","GSM2180419","Private","RHC4746","GPL11154","EGAS00001001945","ERP016958","ERS1312432"
"265","GSM2180420","Private","RHC4747","GPL11154","EGAS00001001945","ERP016958","ERS1312433"
"266","GSM2180421","Private","RHC4751","GPL11154","EGAS00001001945","ERP016958","ERS1312437"
"267","GSM2180422","Private","RHC4755","GPL11154","EGAS00001001945","ERP016958","ERS1312441"
"268","GSM2180423","Private","RHC4757","GPL11154","EGAS00001001945","ERP016958","ERS1312443"
"269","GSM2180424","Private","RHC4758","GPL11154","EGAS00001001945","ERP016958","ERS1312444"
"270","GSM2180425","Private","RHC4760","GPL11154","EGAS00001001945","ERP016958","ERS1312446"
"271","GSM2180426","Private","RHC4761","GPL11154","EGAS00001001945","ERP016958","ERS1312447"
"272","GSM2180427","Private","RHC4763","GPL11154","EGAS00001001945","ERP016958","ERS1312449"
"273","GSM2180428","Private","RHC4767","GPL11154","EGAS00001001945","ERP016958","ERS1312453"
"274","GSM2180429","Private","RHC4768","GPL11154","EGAS00001001945","ERP016958","ERS1312454"
"275","GSM2180430","Private","RHC4769","GPL11154","EGAS00001001945","ERP016958","ERS1312455"
"276","GSM2180431","Private","RHC4771","GPL11154","EGAS00001001945","ERP016958","ERS1312457"
