"","gene","DDcategory","Clusters.combined","Clusters.c1","Clusters.c2","nonzero.pvalue","nonzero.pvalue.adj"
"RBM26","RBM26",NA,NA,NA,NA,0.000129382500718145,0.00602681663096581
"ENO1","ENO1",NA,NA,NA,NA,2.06626322082348e-05,0.00161225400854163
"DST","DST",NA,NA,NA,NA,0.000545744536103676,0.0161322178828329
"MED14","MED14",NA,NA,NA,NA,0.000732283812531209,0.0192783231317745
"MTMR6","MTMR6",NA,NA,NA,NA,0.00157307142629126,0.0312592814967457
"NQO1","NQO1",NA,NA,NA,NA,0.00216422120610271,0.0377186503235729
"RPS19","RPS19",NA,NA,NA,NA,0.000665597321378386,0.018204818261488
"DDX27","DDX27",NA,NA,NA,NA,4.84119485943957e-06,0.000534967676972708
"CTD-2377D24.6","CTD-2377D24.6",NA,NA,NA,NA,0.000489559605827861,0.0153077369395807
"METAP2","METAP2",NA,NA,NA,NA,0.00123990877421754,0.0262978157723694
"RPS27A","RPS27A",NA,NA,NA,NA,0.000535090213311218,0.0160115257792591
"MARCH7","MARCH7",NA,NA,NA,NA,0.00313697242703459,0.0488643781903465
"SSB","SSB",NA,NA,NA,NA,0.00041523561398682,0.0135309536281912
"B2M","B2M",NA,NA,NA,NA,2.32709305936218e-07,4.21104818507987e-05
"SAT1","SAT1",NA,NA,NA,NA,1.80228609814037e-10,1.27737027205699e-07
"TXNIP","TXNIP",NA,NA,NA,NA,0.000142947816708316,0.00639879569002227
"MIF","MIF",NA,NA,NA,NA,0.00266317858325815,0.0438110906201365
"LINC00657","LINC00657",NA,NA,NA,NA,4.00124378074906e-13,5.6717630592118e-10
"SLC26A3","SLC26A3",NA,NA,NA,NA,0.00228631777952892,0.0392038966026079
"SRSF3","SRSF3",NA,NA,NA,NA,0.000916042632305936,0.0217920670674579
"SERPINB9","SERPINB9",NA,NA,NA,NA,0.00195411832200576,0.0352861493177473
"RP11-1143G9.4","RP11-1143G9.4",NA,NA,NA,NA,1.8587066330511e-09,8.78238884116644e-07
"HSPE1","HSPE1",NA,NA,NA,NA,0.000405733558709542,0.0133750539411808
"BOD1","BOD1",NA,NA,NA,NA,0.000525838916231813,0.0160115257792591
"GAS5","GAS5",NA,NA,NA,NA,0.000729224715533827,0.0192610441168174
"GABARAPL2","GABARAPL2",NA,NA,NA,NA,0.00100673373691085,0.0235139023749106
"TYW5","TYW5",NA,NA,NA,NA,0.000774089339812156,0.0197706601654726
"USP10","USP10",NA,NA,NA,NA,0.00122666184858522,0.0260818975555432
"CDC42EP5","CDC42EP5",NA,NA,NA,NA,0.00144844742375816,0.0294010628617259
"SET","SET",NA,NA,NA,NA,2.28110598632369e-07,4.21104818507987e-05
"PDHA1","PDHA1",NA,NA,NA,NA,0.00319304279736343,0.0489773979089767
"RSRC1","RSRC1",NA,NA,NA,NA,0.000399309857399777,0.0132145149306813
"ASPH","ASPH",NA,NA,NA,NA,0.00189693951562786,0.0346899517434663
"PHF14","PHF14",NA,NA,NA,NA,0.000331198043941994,0.0116881301399446
"CDX1","CDX1",NA,NA,NA,NA,4.6239444525531e-06,0.000524355300919521
"RP11-466H18.1","RP11-466H18.1",NA,NA,NA,NA,0.000644821241492011,0.0178638588237445
"MAPK8","MAPK8",NA,NA,NA,NA,6.45414580668913e-07,0.000101652796455354
"DLG5","DLG5",NA,NA,NA,NA,0.00109010498730799,0.0245924215306485
"GPA33","GPA33",NA,NA,NA,NA,0.000112797966075107,0.00545083353107262
"PCBP1","PCBP1",NA,NA,NA,NA,0.00126124587032206,0.0264209264214017
"SRPK1","SRPK1",NA,NA,NA,NA,0.00129561936082256,0.0270743062992528
"PARK7","PARK7",NA,NA,NA,NA,0.00225266035124416,0.038932693741162
"C21orf59","C21orf59",NA,NA,NA,NA,0.00260441677567058,0.0431784886492754
"PARD6B","PARD6B",NA,NA,NA,NA,1.67305530657247e-05,0.00139503288062734
"ARIH2","ARIH2",NA,NA,NA,NA,0.00330428338929578,0.049471438837985
"TAF7","TAF7",NA,NA,NA,NA,4.49630695823489e-05,0.00269303455491463
"NOTCH2","NOTCH2",NA,NA,NA,NA,0.000185794477211676,0.00782268331032329
"TOMM7","TOMM7",NA,NA,NA,NA,0.000782762344394228,0.0198498318141056
"TMEM171","TMEM171",NA,NA,NA,NA,0.00306988932568963,0.0479952366084381
"POMP","POMP",NA,NA,NA,NA,0.00262014121911491,0.0433546713396349
"SNHG8","SNHG8",NA,NA,NA,NA,0.0033097294178499,0.049471438837985
"AC107016.1","AC107016.1",NA,NA,NA,NA,0.00168680410850885,0.032251121228086
"CNTN4","CNTN4",NA,NA,NA,NA,0.000364361332239715,0.0124955368173338
"AC007969.5","AC007969.5",NA,NA,NA,NA,0.000592549869596337,0.01691153235207
"ITM2C","ITM2C",NA,NA,NA,NA,1.85845711020427e-06,0.000239487541246778
"KPNA3","KPNA3",NA,NA,NA,NA,0.00190337174657484,0.0346899517434663
"RPL21","RPL21",NA,NA,NA,NA,4.07787739803434e-05,0.00256906276076163
"TRPC4AP","TRPC4AP",NA,NA,NA,NA,0.000530633338983066,0.0160115257792591
"HSPA1B","HSPA1B",NA,NA,NA,NA,3.48171272720466e-05,0.00230352602124172
"PDE3B","PDE3B",NA,NA,NA,NA,9.97404365979948e-05,0.00493193263526713
"LBR","LBR",NA,NA,NA,NA,5.2303890996086e-08,1.39013935288035e-05
"RPS5","RPS5",NA,NA,NA,NA,2.86442687170707e-05,0.00204722273477888
"CLK1","CLK1",NA,NA,NA,NA,3.41308399212092e-05,0.00230352602124172
"NBPF20","NBPF20",NA,NA,NA,NA,0.000172184631811789,0.00739611259373367
"ZFC3H1","ZFC3H1",NA,NA,NA,NA,0.000883154661156738,0.0213387227077786
"CALR","CALR",NA,NA,NA,NA,1.49413158190281e-06,0.00020170776355688
"SLC39A4","SLC39A4",NA,NA,NA,NA,0.00244168041095971,0.0410404978166252
"COX11","COX11",NA,NA,NA,NA,0.00097449405834249,0.0230224221283413
"FBLIM1","FBLIM1",NA,NA,NA,NA,0.00115576459095701,0.0254372520455768
"SMC3","SMC3",NA,NA,NA,NA,1.41810188921676e-05,0.0012433975843081
"AOC1","AOC1",NA,NA,NA,NA,0.000623261071554859,0.0176107488823059
"TMSB10","TMSB10",NA,NA,NA,NA,0.00177103009352286,0.0331775571484845
"TBCA","TBCA",NA,NA,NA,NA,0.00106805323311787,0.0242882159028543
