"","Score"
"SPRY3",0.000162202529598394
"DNAL1",0.000162202529598394
"RNF115",0.000162202529598394
"PTPN4",0.000162202529598394
"G3BP1",0.00016172686235617
"TSC22D2",0.00016172686235617
"SV2B",0.000161251195113946
"RAB30",0.000161251195113946
"ELK4",0.000161251195113946
"ABHD2",0.000161251195113946
"TMOD2",0.000161251195113946
"APOL6",0.000161251195113946
"NUFIP2",0.000161251195113946
"UBE2W",0.000161251195113946
"CCDC127",0.000161251195113946
"CAND1",0.000161251195113946
"ZNF573",0.000161251195113946
"KAT7",0.000161251195113946
"SH3PXD2A",0.000161251195113946
"ERC1",0.000161251195113946
"EHD3",0.000161251195113946
"INO80D",0.000160775527871722
"DR1",0.000160775527871722
"ZNF562",0.000160775527871722
"SCO1",0.000160775527871722
"PTPN14",0.000160299860629498
"SLC9A7",0.000160299860629498
"MDM4",0.000160299860629498
"PLXNA4",0.000160299860629498
"GLYAT",0.000160299860629498
"PALM2",0.000160299860629498
"TMEM106B",0.000160299860629498
"UBXN7",0.000159824193387274
"BMPR1A",0.000159824193387274
"SESN3",0.000159824193387274
"ZBTB25",0.000159824193387274
"GAS7",0.000159824193387274
"TSKU",0.000159824193387274
"GRAP2",0.000159824193387274
"TMEM135",0.00015934852614505
"RBMS2",0.00015934852614505
"PGR",0.00015934852614505
"POLR1A",0.00015934852614505
"ZNF70",0.00015934852614505
"UBE2D3",0.00015934852614505
"CBL",0.00015934852614505
"FZD3",0.000158872858902826
"PLEKHG4B",0.000158872858902826
"TMEM132B",0.000158872858902826
"ZKSCAN1",0.000158872858902826
"GATA6",0.000158872858902826
"ENDOD1",0.000158872858902826
"SLC44A1",0.000158397191660602
"MTO1",0.000158397191660602
"LANCL3",0.000158397191660602
"C4orf32",0.000158397191660602
"CACNA1C",0.000158397191660602
"CADM1",0.000158397191660602
"IGF1R",0.000157921524418378
"TET3",0.000157921524418378
"SP3",0.000157921524418378
"RORA",0.000157921524418378
"SBNO1",0.000157921524418378
"C17orf85",0.000157921524418378
"INPP4A",0.000157921524418378
"C12orf5",0.000157921524418378
"RLIM",0.000157445857176154
"TOR1AIP1",0.000157445857176154
"BSND",0.000157445857176154
"LRIG2",0.000157445857176154
"SLC16A10",0.000157445857176154
"WDR37",0.000157445857176154
"CMTM4",0.000157445857176154
"CRCP",0.000157445857176154
"MCTS1",0.00015697018993393
"HELZ",0.00015697018993393
"CLPB",0.00015697018993393
"PAK3",0.00015697018993393
